801,Bauhaus,None,None,None,None,Alliance,Bauhaus,0,ALLIANCE. Refer to the ALLIANCES RULES CARD. Equipment cards attached to your Bauhaus warriors may never be discarded unless possessing warrior is also discarded.
364,"AG-17 ""Panzerknacker""",None,+4,None,None,Equipment,Bauhaus,1,"GIVE TO ANY BAUHAUS WARRIOR. SHOOT WEAPON. ASSAULT RIFLE. Warrior gains +4 to S and may attack two different opponents when you perform one Attack action. Conduct attacks separately; announce both attacks before the first begins. Any modifiers played on the equipped warrior in the first combat carry over to the second combat, and more may be played at that time."
675,AutoGyro,None,+4,+4,None,Equipment,Bauhaus,1,GIVE TO ANY DOOMTROOPER. AIRSHIP AND VEHICLE. A warrior may only have one VEHICLE. Warrior gains +4 to S and A and its opponents may not gain the effects of Fortifications or defend from Warzones.
16,Bauhaus Great Infurior,None,None,None,15,Equipment,Bauhaus,4,"YOU MAY PLACE THE INFURIOR IN YOUR SQUAD AS ONE ACTION. ARTILLERY. You must spend 6 Destiny Points to put the Infurior into play. Every turn, as 3 actions, you may discard any fortification in play."
589,Giacchio Forza 750,None,None,None,None,Equipment,Bauhaus,1,"GIVE TO ANY FREELANCER OR HERETIC. VEHICLE. A warrior may only have one VEHICLE. The warrior may not use Equipment when using the Giacchio Forza. This warrior always attacks first in Shoot combats. If opponent survives, it may shoot back."
610,Klein Helitek Dragonfly,None,None,+5,None,Equipment,Bauhaus,1,"ADD TO YOUR SQUAD AS ONE ACTION. AIRSHIP and VEHICLE. +5 to A. Holds up to three Bauhaus warriors (enter or exit the Dragonfly as one action each). Warriors in the Dragonfly may not use other Equipment cards, and can only be wounded by opponents using SHOOT WEAPONS or VEHICLES. If the Dragonfly is discarded all warriors in the Discarded are killed (points are earned as normal)."
759,Sachs 9000GL,None,None,None,None,Equipment,Bauhaus,1,"GIVE TO ANY COMMANDER. If the Commander is ever wounded or killed in a Shoot combat, you may discard this bullet-proof car to return the Commander to its status before the combat began."
306,"T-32 ""Wolfclaw"" JBT",2x,2x,2x,2x,Equipment,Bauhaus,1,"MAY BE GIVEN TO ANY BAUHAUS DOOMTROOPER. TANK AND VEHICLE. A WARRIOR CAN ONLY HAVE 1 VEHICLE. With this tank, the warrior's F,S,A and V are doubled. No other weapons may be used when using the Wolfclaw."
335,Violator Sword,+2,None,None,None,Equipment,Bauhaus,1,MAY BE GIVEN TO A BAUHAUS DOOMTROOPER. FIGHT WEAPON. The warrior gains +2 to F.
323,Traitor Discovered,None,None,None,2x,Mission,Bauhaus,1,ASSIGN TO ANY BAUHAUS DOOMTROOPER. This warrior must kill a Bauhaus Doomtrooper to complete the mission and earn twice the normal V. The mission-holder may attack non-Personality Bauhaus Doomtrooper until mission is fulfilled or otherwise removed.
